# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  3484
      161        10 -0.072928945564173647265
      161        11 0.15935513158054950833
      161        12 0.1740915694432737526
      161        13 -0.0059825863433051003001
      161        14 0.0023332635686492547711
      161        21 -0.17504215138454268241
      161        22 0.14947186762129408
      161        23 -0.30900042271020083939
      161        24 -0.12270836718919363173
      161        33 -0.1657976835186040776
      161        34 -0.0078529417062632236868
      161        39 -0.04905829161779125952
      161        40 0.0065594544332558896507
      161        41 -0.037352000081844062562
      161        42 -0.0020230507157536427483
      161        53 -0.00058767754160663138781
      161        54 -9.2395521151466252776e-06
      162         7 0.0060865373956802875169
      162         8 -0.20498747346278456405
      162         9 0.034586775916762679817
      162        10 0.77223446068600620773
      162        11 -0.061436267868769274536
      162        12 -0.08379354015323943472
      162        13 -0.0026747683349043625996
      162        14 -0.01442233744208997262
      162        21 0.14947186762129519022
      162        22 -0.3568513861772772966
      162        23 -0.12270836718919179986
      162        24 -0.36439110498062160515
      162        33 -0.0078529417062614195744
      162        34 0.30805769804959809433
      162        39 0.006559454433258340815
      162        40 -0.027159393286699296671
      162        41 -0.0020230507157544997017
      162        42 -0.018987438673471756373
      162        53 -9.2395521150671617287e-06
      162        54 -0.00029427462091921114317
      163         1 -0.116491622276286802
      163         2 -0.25412048113697927043
      163         3 -0.88205233755022960374
      163         4 0.023448657668471928339
      163         5 -0.042844826934615748426
      163         6 0.2056214258058083888
      163         7 -4.5853318012064410011e-06
      163         8 1.315335609870472709e-06
      163        19 2.4294848909338098153
      163        20 0.012792035856699274232
      163        21 -0.0032083876609079317252
      163        22 0.00011100651748134838159
      163        27 -0.17640147347704379643
      163        28 0.2060538392434263788
      163        35 -0.42368193564993000821
      163        36 -0.18620834106203468239
      163        37 -0.554232903443286129
      163        38 -0.038261072850280769542
      163        47 -0.13867944751047014962
      163        48 0.045236397168785934253
      163        51 -0.042374203093403284281
      163        52 -0.01497278773938792544
      163        55 -0.034258673243435046329
      163        56 0.00029800519239992520571
      164         1 -0.19629577915607152039
      164         2 -0.19315671048291435663
      164         3 0.014456642574532904341
      164         4 -0.31390155604587038907
      164         5 0.15678873891880706903
      164         6 -0.21034480020929213762
      164         7 1.3153356099290816715e-06
      164         8 -3.7213841164376395205e-06
      164        19 0.012792035856721428386
      164        20 2.2427531475147568507
      164        21 0.00011100651748340987005
      164        22 -0.0064102359334166237465
      164        27 0.20605383924340905932
      164        28 -0.5976688762485685702
      164        35 -0.18620834106204078862
      164        36 -0.72099600701382049461
      164        37 -0.038261072850249808197
      164        38 -0.0027271747947339849624
      164        47 0.045236397168786232625
      164        48 -0.12984797118760099677
      164        51 -0.014972787739388039932
      164        52 -0.048183328813192226325
      164        55 0.00029800519240008187293
      164        56 -0.0042582706388335960293
      165         5 -0.28434009929780018622
      165         6 -0.21777718714076635398
      165         7 -0.54417949160503653605
      165         8 0.1241108855960011137
      165         9 -0.15390875163723746755
      165        10 0.058315775801528843547
      165        19 -0.0584190106873091336
      165        20 -0.012589375828285712458
      165        21 1.2921282334441392958
      165        22 0.082201603527791669568
      165        33 -0.16929267620797150418
      165        34 -0.033344715278782965928
      165        35 0.57709246063934882542
      165        36 0.091210977504735238353
      165        37 -0.041850243429064869216
      165        38 0.013737596812290080173
      165        39 -0.050990844877810144464
      165        40 -0.19540127397571011025
      165        51 -0.3840584213073809372
      165        52 0.12675641407001519978
      165        53 -0.067771431443105725756
      165        54 -0.026707597862893405621
      165        57 -0.0994902533212552731
      165        58 -0.010513103225923654122
      166         5 -0.21777718714080587792
      166         6 -0.16440514102148592879
      166         7 0.12411088559603579429
      166         8 -0.17304995759260938248
      166         9 0.058315775801523639377
      166        10 -0.22250529561640294829
      166        19 -0.012589375828283176292
      166        20 -0.13888577580836253267
      166        21 0.082201603527790656489
      166        22 1.1695840312382730364
      166        33 -0.033344715278773251477
      166        34 -0.43263133331138670101
      166        35 0.091210977504739484956
      166        36 0.15245530535550816387
      166        37 0.013737596812286983691
      166        38 -0.064961287614347690278
      166        39 -0.19540127397572218393
      166        40 0.28382085777005749971
      166        51 0.12675641407002682937
      166        52 -0.27741256133341091195
      166        53 -0.026707597862894210533
      166        54 -0.087951874593450940498
      166        57 -0.010513103225924764345
      166        58 -0.029137497202866003559
      167        11 -0.42697555759255745311
      167        12 -0.17119915577629857273
      167        13 -0.41917080538685097535
      167        14 0.096691200671665630817
      167        15 -0.21030406835276974076
      167        16 0.079742431340625072322
      167        23 1.2549413484935234564
      167        24 -0.033767675515950168474
      167        25 0.96588046626809176409
      167        26 0.014417338265645150003
      167        31 -0.036719013333520136855
      167        32 -0.0012811883956090775599
      167        33 -0.10959063365068173745
      167        34 -0.011853993272213831506
      167        41 -0.30331230039313206159
      167        42 0.1622371595843468961
      167        43 -0.31279762199580329884
      167        44 -0.12936035703984294365
      167        45 -0.32676774939868602488
      167        46 -0.010088712653923135806
      167        59 -0.047593299402156362399
      167        60 0.0047920854629515813317
      167        67 -0.011259482326097854793
      167        68 -0.00032913267139673079266
      168        11 -0.16923263122926493485
      168        12 -0.36103355736570841295
      168        13 0.094724676124633450103
      168        14 0.069592574681447902374
      168        15 0.079742431340631428349
      168        16 -0.25695062126031203986
      168        23 -0.033767675515934500452
      168        24 1.001645752920448329
      168        25 0.014417338265622445942
      168        26 0.57217201241598658612
      168        31 -0.0012811883956163217652
      168        32 -0.19536851608968572314
      168        33 -0.011853993272214445598
      168        34 -0.28119346642578540996
      168        41 0.1622371595843498937
      168        42 -0.37423853691424524559
      168        43 -0.12936035703983655987
      168        44 -0.34092769824758467623
      168        45 -0.01008871265392493298
      168        46 0.21351803633609095501
      168        59 0.0047920854629515032691
      168        60 -0.025231941437890495483
      168        67 -0.00032913267139702883984
      168        68 -0.0056527556834063338864
      169         1 -0.4125334250084604637
      169         2 0.19710891184418904976
      169        19 -0.38450603553859835637
      169        20 0.23338667201773363735
      169        27 1.2285584611509394737
      169        28 -0.12252718728967942896
      169        37 0.017435596476392662552
      169        38 -0.22317319234525376248
      169        47 -0.32789342068262350427
      169        48 -0.067516274050317084954
      169        51 -0.00021424618667780545144
      169        52 -3.2625631066788326425e-06
      169        55 -0.11296396951123763297
      169        56 -0.017275667613565557496
      170         1 -0.052891088155780169311
      170         2 -0.13776663152984774952
      170        19 0.23338667201774149218
      170        20 -0.70721013903179530402
      170        27 -0.12252718728967855466
      170        28 1.1792283738565096929
      170        37 -0.22317319234527716043
      170        38 -0.1903011200530003999
      170        47 0.18248372594966549842
      170        48 -0.071109409198625350701
      170        51 -3.2625631067125754705e-06
      170        52 -0.00042834330788771643591
      170        55 -0.017275667613564502784
      170        56 -0.064529770035618758128
      171        15 -0.36661843867633242544
      171        16 -0.14180315234358900622
      171        17 -0.20362438807502383775
      171        18 -0.1096781658700521217
      171        25 -0.078576572741286779267
      171        26 -0.0063445182580733174363
      171        29 0.71870915454924189092
      171        30 0.0032928547791948228202
      171        31 0.51946724089137996661
      171        32 -0.0012740140020889409618
      171        43 -0.30909454553348103545
      171        44 0.12849075154427339052
      171        49 -0.24668362907555382857
      171        50 0.12671555070365408957
      171        61 -0.023456517958953777142
      171        62 0.00060069344668122240903
      172        15 -0.14180315234357876442
      172        16 -0.35414100244194191003
      172        17 0.1403218341299510008
      172        18 0.070545776786688843552
      172        25 -0.0063445182580743695461
      172        26 -0.19368420717253964636
      172        29 0.0032928547791956086499
      172        30 0.6787838930162047868
      172        31 -0.0012740390030133814589
      172        32 0.10772780283570876358
      172        43 0.12849077451048473986
      172        44 -0.32183964173819717969
      172        49 -0.12328444726164611289
      172        50 0.034504113047726069075
      172        61 0.000600693446681295159
      172        62 -0.011774430953659511395
      173        13 -0.39882187120425122151
      173        14 -0.15002281521398208586
      173        15 -0.41652113459265138751
      173        16 0.050778490647696732097
      173        17 -0.28755790238320771968
      173        18 0.10614791071134703493
      173        23 -0.092963101533207762039
      173        24 -0.013218735709732655145
      173        25 1.0315478090773488873
      173        26 -0.018127664964586800989
      173        29 0.040735246757491523628
      173        30 0.0019852516640159155459
      173        31 1.2247683486456297786
      173        32 0.014370129418068656665
