# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
306 306 0  2128
      173       159 -0.46089536494458499538
      173       160 -0.25277260121253380953
      173       167 -0.15905906311288978139
      173       168 -0.005011910467126094379
      173       171 -0.18122489105997477421
      173       172 0.0030020183615061648078
      173       173 2.6304099540598913087
      173       174 0.014750136204245624383
      173       185 -0.44510450863122485998
      173       186 0.25412943012945382604
      173       191 -0.69805648463536029702
      173       192 -0.25132711629483567295
      174       153 0.23723006625957226978
      174       154 -0.30504181962035636921
      174       159 -0.25277260121254085945
      174       160 -0.24545800476480730823
      174       167 -0.0050119104671136564116
      174       168 -0.74098294682448673232
      174       171 0.0030019953812203742025
      174       172 -0.73975919804839496141
      174       173 0.014750136204245624383
      174       174 2.6332333223259194455
      174       185 0.25412943012945282684
      174       186 -0.23571535314193142741
      174       191 -0.25132711629483667215
      174       192 -0.3498165214369883258
      175       157 -0.79159698716095960869
      175       158 0.072303504048069233701
      175       163 -0.6365055843724763962
      175       164 -0.2892745246660630154
      175       165 -0.20927187675696601321
      175       166 0.023652077871413913768
      175       175 2.8149719144985212438
      175       176 0.22593795496163923686
      175       181 -0.83125584387052675606
      175       182 -0.28079194555918934872
      175       183 -0.33450850023723793791
      175       184 0.24817293334413004224
      176       157 0.072303504048056119191
      176       158 -0.28950337761567818129
      176       163 -0.28927452466604697268
      176       164 -1.0278754448936824328
      176       165 0.023652077871426629291
      176       166 -0.79488625579488025874
      176       175 0.22593795496163923686
      176       176 2.8618155351797995856
      176       181 -0.28079194555921765941
      176       182 -0.47673278536228314017
      176       183 0.24817293334414328165
      176       184 -0.26098454941291704401
      177       147 -0.5026079228454776171
      177       148 0.20404860894928061876
      177       161 -0.58189078806450189596
      177       162 -0.28137742420840022861
      177       167 -0.25434025270356247495
      177       168 0.030206574189294156663
      177       177 2.5638815623408803823
      177       178 0.058965398192751025674
      177       179 -0.12657975377853947219
      177       180 0.0061891309876839547405
      177       193 -0.57094312337865282814
      177       194 -0.26112635276233442383
      177       195 -0.51198204079420051027
      177       196 0.24309406465172447853
      178       147 0.2035940939737051758
      178       148 -0.14615766337749935833
      178       161 -0.2807756889257638222
      178       162 -0.40908931775109480533
      178       167 0.030059353882227919652
      178       168 -0.8760105745948469913
      178       177 0.058965398192751025674
      178       178 2.6970667034134665485
      178       179 0.00618913098769132905
      178       180 -0.69760011869836568987
      178       193 -0.26112635276233420178
      178       194 -0.31668241098621252583
      178       195 0.24309406465172248013
      178       196 -0.23598893722949695895
      179       155 -0.39921080103980188802
      179       156 -0.20909958316310386928
      179       161 -0.63868209056081670649
      179       162 0.27203408470989504098
      179       165 -0.31711659495610894366
      179       166 -0.033069009415275220365
      179       177 -0.12657975377853947219
      179       178 0.00618913098769132905
      179       179 2.567039314427846719
      179       180 -0.031166912773492094768
      179       195 -0.60729941268315301706
      179       196 -0.26055078345128024342
      179       197 -0.46272560310686533525
      179       198 0.25566307310556479759
      180       155 -0.2090995831630922952
      180       156 -0.084290147981099378116
      180       161 0.27203408470989054457
      180       162 -0.39456169004354912921
      180       165 -0.033069009415280792297
      180       166 -0.96931242151976670929
      180       177 0.0061891309876839547405
      180       178 -0.69760011869836568987
      180       179 -0.031166912773492094768
      180       180 2.7566502018461158663
      180       195 -0.26055078345126625461
      180       196 -0.33030252866636633513
      180       197 0.2556630731055573591
      180       198 -0.26515823663440862834
      181       165 -0.45370936026644587136
      181       166 0.26287536247936976741
      181       175 -0.83125584387052675606
      181       176 -0.28079194555921765941
      181       181 2.9725850125620381093
      181       182 0.12152379402970608924
      181       183 -0.11696144539803873807
      181       184 0.047813113147465842456
      181       197 -0.43226701891799468314
      181       198 -0.20560063486965640678
      181       199 -1.1266212511886894987
      181       200 0.054180310772332325453
      182       165 0.26287536247934079059
      182       166 -0.29466144178594838587
      182       175 -0.28079194555918934872
      182       176 -0.47673278536228314017
      182       181 0.12152379402970608924
      182       182 2.6880313634213028884
      182       183 0.047813113147449376461
      182       184 -0.6131372643597897687
      182       197 -0.20560063486963478518
      182       198 -0.81781916032526946747
      182       199 0.054180310772327919255
      182       200 -0.47391061866766986954
      183       163 -0.63851682095465733813
      183       164 -0.00049046787517525341268
      183       169 -0.028629493228552412021
      183       170 -0.24465684104565971202
      183       175 -0.33450850023723793791
      183       176 0.24817293334414328165
      183       181 -0.11696144539803873807
      183       182 0.047813113147449376461
      183       183 2.6466136688735018012
      183       184 0.020173139598458698918
      183       187 -0.48856207321734268501
      183       188 -2.9697009859086607314e-14
      183       199 -0.24479622290663197171
      183       200 -0.25488633972894636504
      183       205 -0.00056060896521679416931
      183       206 0.25004433792505920131
      183       213 -0.77303694847101933618
      183       214 -0.066169875365299501979
      184       163 -0.00049046787521020418759
      184       164 -0.15103412434904958661
      184       169 -0.24465684104564075496
      184       170 -0.12447026560107356252
      184       175 0.24817293334413004224
